crsp_fundno,n_full,n_lowvol,n_highvol,alpha_full_annual,alpha_lowvol_annual,alpha_highvol_annual,alpha_high_minus_low
4717,6876,5162,1714,0.01117711654413452,0.0052739403878924295,0.015996238604710427,0.010722298216817997
4905,6876,5162,1714,0.009456573825543718,0.00558241443545279,0.04128670492235966,0.03570429048690687
5079,6876,5162,1714,0.0007937848812167975,-2.71210778836922e-05,-0.0005034295922877362,-0.00047630851440404404
5846,6350,4813,1537,0.024433394638725143,0.02880005254307058,0.01574764028184022,-0.01305241226123036
7826,6876,5162,1714,-0.0028863873679320423,-0.010130640674450334,0.02155416572690092,0.031684806401351254
9980,6876,5162,1714,0.011015518993980407,0.03441492999181292,-0.03289133841569959,-0.06730626840751251
10063,5684,4508,1176,-0.0297359997222951,-0.028562892191636685,-0.024407536527037137,0.0041553556645995485
11809,6876,5162,1714,0.0200830440641839,0.029226462490646164,-0.015777977376333897,-0.045004439866980064
11974,6876,5162,1714,0.02181211504131015,0.021497768675145565,0.02665074815694885,0.005152979481803287
11980,6876,5162,1714,0.012382578022253716,0.013057877731657024,-0.007626757897396238,-0.02068463562905326
12009,6876,5162,1714,0.01563516049928591,0.016532459146922553,0.017717957542718755,0.0011854983957962015
12017,6876,5162,1714,0.044081059486756204,0.03370187646950815,0.051710785739140785,0.018008909269632632
12026,6876,5162,1714,0.02160508441329967,0.033004134658016875,0.005992300642337718,-0.027011834015679158
13216,6876,5162,1714,0.01240196930604904,0.012612596282715053,0.0025565640678039277,-0.010056032214911125
14031,6876,5162,1714,0.02136783737158553,0.014845013597083873,0.02611432502340988,0.011269311426326006
19609,6876,5162,1714,0.018364674545654193,0.015727384027315272,0.026790136079717156,0.011062752052401884
21120,6876,5162,1714,0.0200132023309049,5.778873273271978e-05,0.021327269063858716,0.021269480331125995
22641,6876,5162,1714,-0.0060508966278822515,-0.04040520472157666,0.07620938154296387,0.11661458626454053
24805,6350,4813,1537,0.030367984884486526,0.010543662364349652,0.03323343047892011,0.022689768114570463
24833,5325,4149,1176,0.014299056703971419,0.0148481393760716,0.00776803243578306,-0.007080106940288541
26970,6876,5162,1714,0.0013924025305016646,-0.0031291113892111116,0.016057557718310685,0.019186669107521797
26982,6876,5162,1714,-0.0003689466308407463,-0.0028133319857940164,0.004581029997202199,0.007394361982996215
26985,6876,5162,1714,0.007435241053358152,0.0031960423386336876,0.00010661544433749175,-0.003089426894296196
26998,6876,5162,1714,0.018466452865708877,0.0175240524552679,0.014228125074848,-0.003295927380419901
27045,6876,5162,1714,0.0034573078099785124,-0.0004473102795770607,0.00648320389788662,0.0069305141774636805
27354,5367,4191,1176,-0.0016027675889367693,-0.01130799159380653,0.0036097059441578014,0.014917697537964332
30782,6874,5160,1714,-0.022925960703519783,-0.0320034577075078,-0.0017078302952740025,0.030295627412233798
31187,6876,5162,1714,0.0015774693841017142,0.013952024389031968,-0.014511414179511432,-0.0284634385685434
31208,6132,4718,1414,-0.011057802931717943,-0.019082377310449282,-0.008085847784650732,0.01099652952579855
31217,6876,5162,1714,0.004235851675225942,0.003680125150113427,0.011101608624182404,0.007421483474068977
31235,6876,5162,1714,0.016856440929627764,0.01615216728300127,0.01261283462188431,-0.0035393326611169607
31298,4923,3747,1176,-0.012265734058172603,-0.012723772276586059,-0.007502453321941304,0.005221318954644755
31302,6876,5162,1714,0.029154872346377352,0.03768193886062852,0.005560750903834589,-0.03212118795679393
31304,6876,5162,1714,0.015950372002171073,0.017505129381208736,0.01283369884788924,-0.004671430533319495
31363,5477,4301,1176,0.023426411088428117,0.015287953890519746,0.03358567356471898,0.018297719674199235
31456,6319,4804,1515,0.007125469123936588,0.010344931928978434,-0.009233512837488703,-0.019578444766467137
31461,6319,4804,1515,-0.002049506326076375,-0.0002526571906930911,-0.004422567520807682,-0.004169910330114591
31462,6319,4804,1515,-0.0018384641849708784,0.00027042559601663706,-0.006045746975126347,-0.006316172571142985
31950,6876,5162,1714,0.016662163358346624,0.007332033077314746,0.027074212932240712,0.019742179854925965
31959,6876,5162,1714,0.00458657619486151,0.003458984930513265,0.006804198335971116,0.0033452134054578514
36540,4569,3419,1150,-0.0366903127536975,-0.04736987936470782,0.0020938568137868242,0.049463736178494644
52301,3683,2964,719,-2.7334150503437112e-05,0.0016105462136989227,-0.004573857109114024,-0.006184403322812946
52819,3627,2908,719,0.020006390941866178,0.03655601128791673,-0.02503356809000743,-0.06158957937792416
52832,3646,2927,719,-0.017275754802285076,-0.017945965014711268,-0.001288714091974222,0.016657250922737045
53175,3599,2905,694,-0.00328498457315265,-0.001261868592743389,-0.008888266692920919,-0.00762639810017753
64961,2578,1995,583,0.01652070935511588,-0.02386007326457845,0.14907175776666462,0.17293183103124307
87002,2467,1915,552,0.03151285608807116,0.04988001329672393,-0.012456904079081614,-0.062336917375805545
91487,2154,1616,538,-0.02630876734887653,-0.041063253248711296,0.0398433152315563,0.08090656848026759
93577,1926,1425,501,-0.0023139452575835075,0.011974490865303744,-0.034674983683205186,-0.04664947454850893
