crsp_fundno,windows,alpha_mean_annual,alpha_median_annual,alpha_std_annual,alpha_positive_share,alpha_negative_share,consistency_score
4717,98,0.00019696007417953408,-0.004181809565711479,0.022519290628481306,0.3979591836734694,0.6020408163265306,0.0034805088277867925
4905,98,0.007426850227900543,0.0022511409570145835,0.031876998271845425,0.5204081632653061,0.47959183673469385,0.12124329303831462
5079,98,-0.0030880935134351252,-0.0034890220409634267,0.02294971917416838,0.47959183673469385,0.5204081632653061,-0.0645306331743964
5846,89,0.022465967698266805,0.030729279314836565,0.03922081215413528,0.7191011235955056,0.2808988764044944,0.41189587444344256
7826,98,0.0006130359626106028,-0.0014890086804580666,0.022246760782822683,0.4897959183673469,0.5102040816326531,0.013496302627044652
9980,98,-0.001232075486672103,-0.020810080669546697,0.07793582903389619,0.20408163265306123,0.7959183673469388,-0.0032262536208972534
10063,79,-0.032650304589841125,-0.03224737396023361,0.014854936597293308,0.0,1.0,-0.0
11809,98,0.003864536204994853,0.002972250434783069,0.025333180503910993,0.5408163265306123,0.45918367346938777,0.08249740992439929
11974,98,0.01732189116541972,0.012656623369705643,0.03355555232690568,0.673469387755102,0.32653061224489793,0.34764487496476526
11980,98,0.007286177551332397,0.00787180980911164,0.02479101856342586,0.6122448979591837,0.3877551020408163,0.1799339178460009
12009,98,0.01865104186714179,0.023554999547166954,0.024239227992291775,0.7142857142857143,0.2857142857142857,0.5495894166705236
12017,98,0.033349736109109754,0.02780924186028293,0.06835735029628576,0.7244897959183674,0.2755102040816326,0.35345416328651724
12026,98,0.022216838890222062,0.02252468201215717,0.04724553397303628,0.6530612244897959,0.3469387755102041,0.3070903786978582
13216,98,0.0006593768515807375,-0.0016757994740739968,0.019817075779832626,0.4489795918367347,0.5510204081632653,0.014938218673609843
14031,98,0.004167182536356001,-0.0016856697594608504,0.027753279994989787,0.4489795918367347,0.5510204081632653,0.0674123023411177
19609,98,0.014348543428711242,0.005043988283040205,0.03018408283958894,0.6326530612244898,0.3673469387755102,0.30073298034421836
21120,98,0.014499551698265953,0.011232270881548222,0.04501895873296259,0.6428571428571429,0.35714285714285715,0.2070446228692777
22641,98,-0.0018763609480980706,-0.013713081762999391,0.05392988341769355,0.32653061224489793,0.673469387755102,-0.011360638846384446
