crsp_fundno,n_full,n_lowvol,n_highvol,alpha_full_annual,alpha_lowvol_annual,alpha_highvol_annual,alpha_high_minus_low
9980,6876,5162,1714,0.011015518993980407,0.03441492999181292,-0.03289133841569959,-0.06730626840751251
87002,2467,1915,552,0.03151285608807116,0.04988001329672393,-0.012456904079081614,-0.062336917375805545
52819,3627,2908,719,0.020006390941866178,0.03655601128791673,-0.02503356809000743,-0.06158957937792416
93577,1926,1425,501,-0.0023139452575835075,0.011974490865303744,-0.034674983683205186,-0.04664947454850893
11809,6876,5162,1714,0.0200830440641839,0.029226462490646164,-0.015777977376333897,-0.045004439866980064
31302,6876,5162,1714,0.029154872346377352,0.03768193886062852,0.005560750903834589,-0.03212118795679393
31187,6876,5162,1714,0.0015774693841017142,0.013952024389031968,-0.014511414179511432,-0.0284634385685434
12026,6876,5162,1714,0.02160508441329967,0.033004134658016875,0.005992300642337718,-0.027011834015679158
11980,6876,5162,1714,0.012382578022253716,0.013057877731657024,-0.007626757897396238,-0.02068463562905326
31456,6319,4804,1515,0.007125469123936588,0.010344931928978434,-0.009233512837488703,-0.019578444766467137
