crsp_fundno,n_obs,beta_normal,beta_tail5,beta_tail_minus_normal,tail_shift_t,tail_shift_p
4717,6876,0.8914306797004281,0.8883879198387324,-0.003042759861695693,-0.37555074210390826,0.7072509164550704
4905,6876,0.6245001701002317,0.6611629265366332,0.036662756436401524,2.046009532362,0.040755432825513964
5079,6876,1.052124191056535,1.0570883309221737,0.004964139865638699,0.5949965170069245,0.5518457991700938
5846,6350,-0.04222638666940265,-0.028009529860303264,0.014216856809099385,1.1420350200784544,0.2534394633189647
7826,6876,0.9823620368943631,0.9563966952338911,-0.025965341660471875,-2.729567145739868,0.00634175328986332
9980,6876,0.7926042751856133,0.8591261884027512,0.06652191321713796,3.9403838801352244,8.135132232557956e-05
10063,5684,0.8298269558104772,0.8685367838632111,0.03870982805273389,1.970685202700513,0.04875989412235321
11809,6876,0.9036639254101038,0.9283872956138225,0.024723370203718682,2.3817227138583354,0.017231867294562504
11974,6876,0.742033689470662,0.7781086662172949,0.03607497674663297,2.2705388242874505,0.023174910450013558
11980,6876,1.0768483263147728,1.0727047867453547,-0.00414353956941798,-0.40124033986904756,0.6882431833258842
12009,6876,-0.008035766879779147,0.005629718962071248,0.013665485841850395,1.1302573377674217,0.25836780554663463
12017,6876,1.2851479983123544,1.2286994012975547,-0.056448597014799554,-2.41225029583228,0.015854393341597932
12026,6876,0.7671532352262347,0.8065515354581551,0.039398300231920334,1.9249294412871774,0.05423818607328145
13216,6876,0.8825155817184183,0.9226320136513944,0.04011643193297608,3.462763117178133,0.000534658876198124
14031,6876,0.9486892517258585,0.9628657384730667,0.014176486747208158,1.6178844147746998,0.10568750963258775
19609,6876,0.8892750678810937,0.8794985882304327,-0.009776479650660981,-0.9064897552333002,0.36467668495891803
21120,6876,1.1188482761088858,1.1297324631043586,0.010884186995472882,0.43807283275186654,0.6613334873756739
22641,6876,1.195264128326352,1.1915525860769682,-0.003711542249383755,-0.16301884093403474,0.8705036001871642
24805,6350,1.1846538950668015,1.1209908892383431,-0.06366300582845834,-2.950312146634022,0.0031745302563938958
24833,5325,0.9627292935207087,0.9730734258251219,0.010344132304413172,0.7883409686741871,0.43049728992322167
26970,6876,0.8383069359851749,0.8387222742865181,0.0004153383013432016,0.039297164731130645,0.9686534670888077
26982,6876,0.9860648831070574,0.989600896039347,0.003536012932289556,0.8063098204405279,0.4200642294506467
26985,6876,1.080495664450475,1.068983993930039,-0.01151167052043612,-1.076274067420381,0.2818047029430504
26998,6876,1.011930239687997,1.0225961687022396,0.0106659290142425,0.8348834704017402,0.403783322448678
27045,6876,0.8619047122216725,0.8839840072111871,0.022079294989514567,1.4949786594584002,0.13492001172829532
27354,5367,1.1750581213746605,1.117624284696328,-0.05743383667833255,-3.7590507211779127,0.00017055926140082157
30782,6874,0.9313311548279838,0.942567436474763,0.011236281646779272,0.7355922260183926,0.4619788950254188
31187,6876,0.7252884558380763,0.7595251032899535,0.034236647451877135,1.8494386877637603,0.06439449339838352
31208,6132,1.115083375929297,1.0877183400869843,-0.027365035842312847,-2.3489255806874048,0.01882766941348164
31217,6876,0.8263402351951215,0.8390118345149049,0.012671599319783441,1.179498402640324,0.23819977238497825
31235,6876,0.56284133524529,0.5754588340936969,0.012617498848406933,1.0177096501387275,0.3088159598517147
31298,4923,0.8398892486098081,0.854234515394674,0.01434526678486596,1.6448408348123147,0.10000263867868793
31302,6876,0.043341811141173595,0.12636046541257545,0.08301865427140187,3.8076096038028338,0.0001403165550785738
31304,6876,-0.01669310762756519,-0.006689962432229791,0.010003145195335399,1.2462760452950352,0.21266306912389155
31363,5477,1.1733753773257989,1.108672819893678,-0.06470255743212089,-4.083543238866987,4.435417173576004e-05
31456,6319,1.0524794696883255,1.0490553690154598,-0.003424100672865587,-0.5022909130417689,0.6154629002809943
31461,6319,0.9948166658063254,0.9937127993477263,-0.0011038664585991409,-0.429033076179129,0.6678991540118309
31462,6319,0.9992500421618397,1.0053011338022064,0.006051091640366754,3.0906879875265107,0.001996933519300185
31950,6876,1.0073355273247973,1.0217132705136671,0.014377743188869758,0.70562242873066,0.4804229724781398
31959,6876,0.8475639085270268,0.8636993513328739,0.016135442805847076,1.2121976689748364,0.22543672358319644
36540,4569,0.8710457916342766,0.9053998085077137,0.03435401687343704,1.5949790578593177,0.1107169189599554
52301,3683,0.9886629038439904,0.986516147701255,-0.002146756142735442,-0.8707217317188135,0.3839061096991456
52819,3627,0.03777033665771486,0.1260232081081291,0.08825287145041423,2.3572180230038335,0.01841243300839301
52832,3646,0.9796964197027666,0.9837842059043894,0.004087786201622857,0.17317237664507087,0.862515935823991
53175,3599,0.9943288025746688,0.9992359413558848,0.00490713878121596,1.1644901693036542,0.24422542499052413
64961,2578,0.5074869253547164,0.5392811578472687,0.03179423249255229,0.5125925475335684,0.608236367359951
87002,2467,0.09724727950083739,0.1840699185532063,0.08682263905236892,1.6307974864812818,0.10293305800089386
91487,2154,0.6170368278350988,0.686365823746225,0.06932899591112619,1.3158234325871763,0.18823331244965125
93577,1926,0.10647692226085369,0.1692930427125136,0.06281612045165991,1.7600882030880376,0.07839285266199834
100948,741,0.9945449699917286,0.9984871881407787,0.0039422181490501584,1.290290980126783,0.19694964745231347
