crsp_fundno,n_obs,beta_up,beta_down,beta_down_minus_up,shift_t,shift_p
12017,6876,1.2946690238239686,1.2385775392225926,-0.05609148460137597,-1.8310546745775231,0.06709238281083256
31363,5477,1.1770958841298758,1.1253388384698475,-0.05175704566002817,-2.729034615983401,0.006352003578359259
7826,6876,0.99797134357164,0.9504264022094504,-0.04754494136218955,-4.2380164262590805,2.2550327407152834e-05
19609,6876,0.9022083387055506,0.8706443289092451,-0.03156400979630542,-2.2015910981148874,0.02769420530448846
24805,6350,1.176414231058357,1.1494171138109464,-0.02699711724741059,-1.015229773185906,0.3099963113353955
27354,5367,1.1659513709675369,1.143354909665996,-0.02259646130154073,-1.2255011370879623,0.22038646192135825
26970,6876,0.8439438253714712,0.8333063890688841,-0.010637436302587115,-0.7961581262891424,0.425940132583589
52832,3646,0.9855215032658111,0.9772196253331387,-0.008301877932672407,-0.23845196884565406,0.811530564277195
52301,3683,0.9918595648486002,0.9843621443763668,-0.007497420472233362,-2.612817263596801,0.008979930183207712
26985,6876,1.079975863363834,1.0733030202977611,-0.0066728430660729365,-0.5360061642582428,0.5919542902030358
