crsp_fundno,n_obs,beta_up,beta_down,beta_down_minus_up,shift_t,shift_p
4717,6876,0.8878039575385864,0.8927964546223996,0.004992497083813267,0.5105622793198152,0.6096575945332041
4905,6876,0.6297147866829236,0.6440752554682059,0.014360468785282271,0.7199739050142363,0.47154106245795424
5079,6876,1.0536051640699478,1.0540491356196349,0.0004439715496871999,0.04314351111797991,0.9655871347142906
5846,6350,-0.0433112634886821,-0.031668395678901104,0.011642867809780992,0.7623605976467006,0.44584481616848315
7826,6876,0.99797134357164,0.9504264022094504,-0.04754494136218955,-4.2380164262590805,2.2550327407152834e-05
9980,6876,0.7829149460278366,0.8460521147670215,0.06313716873918479,3.034189915582795,0.0024118254973359864
10063,5684,0.824717373957031,0.8607980534096642,0.036080679452633116,1.6320999727314704,0.10265842751588249
11809,6876,0.8955163160148834,0.9277849378289073,0.032268621814023866,2.6132399029328006,0.008968832141344597
11974,6876,0.7395404556254177,0.7684332534967738,0.028892797871356082,1.4249342632807038,0.15417620417608432
11980,6876,1.0692407536086006,1.0812069083518003,0.0119661547431998,0.8941633782973222,0.3712344832314164
12009,6876,-0.011446056470879162,0.004273266079561872,0.015719322550441034,1.1062222122704741,0.2686303509710263
12017,6876,1.2946690238239686,1.2385775392225926,-0.05609148460137597,-1.8310546745775231,0.06709238281083256
12026,6876,0.7503794495799335,0.8091401154609142,0.05876066588098075,2.121676523513141,0.03386491138163874
13216,6876,0.8713054352669316,0.9197724868406782,0.04846705157374667,3.815799506893272,0.00013574269276518905
14031,6876,0.9352717785202858,0.9707085305201438,0.03543675199985808,3.373426459318847,0.0007423887440754752
19609,6876,0.9022083387055506,0.8706443289092451,-0.03156400979630542,-2.2015910981148874,0.02769420530448846
21120,6876,1.1077589511963928,1.1364915354971619,0.028732584300768985,0.9705529849843803,0.3317709277544173
22641,6876,1.1967935967739556,1.1913562115588372,-0.005437385215118336,-0.17752444326980876,0.8590964671913649
24805,6350,1.176414231058357,1.1494171138109464,-0.02699711724741059,-1.015229773185906,0.3099963113353955
24833,5325,0.9553470004573861,0.9766047505792933,0.021257750121907223,1.5271893038095605,0.12671394528097815
26970,6876,0.8439438253714712,0.8333063890688841,-0.010637436302587115,-0.7961581262891424,0.425940132583589
26982,6876,0.9850631399541858,0.9893616160805373,0.004298476126351522,0.8082891957472874,0.418924120719672
26985,6876,1.079975863363834,1.0733030202977611,-0.0066728430660729365,-0.5360061642582428,0.5919542902030358
26998,6876,1.0087173850175046,1.0220534485103094,0.013336063492804737,0.8476936546281466,0.3966086011052802
27045,6876,0.8695220965490991,0.8695016988066778,-2.0397742421199294e-05,-0.0013321317066756469,0.9989371129926496
27354,5367,1.1659513709675369,1.143354909665996,-0.02259646130154073,-1.2255011370879623,0.22038646192135825
30782,6874,0.9379458867109778,0.9326342063812113,-0.005311680329766462,-0.25904163386152806,0.795603117354957
31187,6876,0.7267966926020775,0.7467152580501499,0.01991856544807241,0.8348787489889614,0.40378598105882735
31208,6132,1.1059221083969026,1.1051428512388748,-0.0007792571580277352,-0.05601995819034395,0.9553259077895375
31217,6876,0.8295588865538632,0.8317798202553108,0.0022209337014476305,0.1681441754085131,0.8664698570980983
31235,6876,0.5572786101475624,0.5764665142106908,0.019187904063128418,1.3672001109240541,0.17156259060120382
31298,4923,0.8376472791446697,0.8521022469668412,0.014454967822171485,1.1933382260462122,0.23273693740392276
31302,6876,0.015153002855999048,0.12511484442630771,0.10996184157030867,4.189580551425644,2.7947056395588956e-05
31304,6876,-0.020076017054985434,-0.006852818869002216,0.013223198185983219,1.3550964400482528,0.1753868327753786
31363,5477,1.1770958841298758,1.1253388384698475,-0.05175704566002817,-2.729034615983401,0.006352003578359259
31456,6319,1.0500649707332839,1.052399016439622,0.0023340457063381445,0.2714779465246842,0.7860234591624059
31461,6319,0.9970033167652678,0.9920689961713575,-0.004934320593910249,-1.4895196513682565,0.13635058249836046
31462,6319,1.000575362494522,1.0020924327937346,0.001517070299212721,0.5798152391652402,0.5620392197683239
31950,6876,1.011854499911908,1.0126958195912152,0.0008413196793072494,0.03426148894375639,0.9726686341984869
31959,6876,0.8487315114339173,0.8572345095097798,0.00850299807586237,0.5517233738748458,0.5811378932259671
36540,4569,0.8727360732112063,0.8941804613377481,0.021444388126541862,0.7977711736941652,0.4250032923603805
52301,3683,0.9918595648486002,0.9843621443763668,-0.007497420472233362,-2.612817263596801,0.008979930183207712
52819,3627,0.028048647713697507,0.10590569603648176,0.07785704832278424,1.5801119269552728,0.11408123639458505
52832,3646,0.9855215032658111,0.9772196253331387,-0.008301877932672407,-0.23845196884565406,0.811530564277195
53175,3599,0.9953217011191134,0.9966425047298444,0.001320803610730997,0.260956314333162,0.79412619634091
64961,2578,0.4865402122314629,0.5485189352571959,0.061978723025732936,0.7530474689422609,0.45142138956162203
87002,2467,0.07696841555363917,0.1771072492478424,0.10013883369420323,1.5468072833190858,0.12190972342783357
91487,2154,0.6040476858205197,0.6784252991665924,0.07437761334607276,1.2754542368004607,0.20214851210988916
93577,1926,0.0940923573009823,0.1630108995808407,0.06891854227985841,1.4263590073007568,0.15376473997843343
100948,741,0.9939402287367326,0.9971839134461764,0.0032436847094438003,0.9827274390043639,0.32574160233375793
