crsp_fundno,score_year,downside_shift,downside_p,tail_shift,tail_p,regime_alpha_gap,consistency_raw,consistency_pos_share,consistency_std,n_downside,n_tail,n_lowvol,n_highvol,n_roll_windows,downside_def,tail_def,regime_skill,consistency_skill,z_downside,z_tail,z_regime,z_consistency,crisis_score_raw,crisis_score_pct,next_year,future_alpha_annual,alpha_next_p,n_obs_next,downside_shift_year,tail_shift_year
4717,2000,-0.038228571545502826,0.2623359346829608,-0.06093855675278,0.00653734020024697,0.08685867476570147,1.1847639585542216,1.0,0.05063528023784523,589,589,426,143,6,0.038228571545502826,0.06093855675278,0.08685867476570147,1.1847639585542216,0.08212210902000096,0.7988224026366793,-0.05313411784660619,0.2043418562362221,0.258038062511574,0.7931034482758621,2001,-0.00028685137940014506,0.9954430473668495,248,-0.0028148137763976955,0.03375779062375028
4905,2000,0.032253088032649625,0.3960564280101163,-0.013790577832797902,0.6139300681991474,0.13843562527509912,1.7455185959162423,1.0,0.03169928475908331,589,589,426,143,6,-0.032253088032649625,0.013790577832797902,0.13843562527509912,1.7455185959162423,-0.4995335530925506,0.020552866386138083,0.21285847273858646,0.6078179561458344,0.08542393554450209,0.6551724137931034,2001,0.10930947546458801,0.003410124466668263,248,-0.03931995783379341,-0.03484697898715171
5079,2000,-0.006925315352008368,0.8819356002420429,0.027170994126015924,0.4289905471722796,-0.057976158841051874,-0.1868166465159367,0.5,0.025560002017617423,589,589,426,143,6,0.006925315352008368,-0.027170994126015924,-0.057976158841051874,-0.1868166465159367,-0.17621057378688607,-0.6555979324971688,-0.8000761572177812,-0.7825425248698428,-0.6036067970929198,0.20689655172413793,2001,0.03230723657843027,0.5884353406461587,248,0.007492208775857823,0.11172122616879973
7826,2000,-0.14120263250630702,0.001958183890864803,-0.0836498375000247,0.032931986786938365,0.29561692705746145,-0.08263667895849548,0.5,0.11497267155027137,589,589,426,143,6,0.14120263250630702,0.0836498375000247,0.29561692705746145,-0.08263667895849548,0.9319239719026521,1.1737164774137174,1.0234737037617088,-0.7075825973041449,0.6053828889434835,0.8275862068965517,2001,0.032422210431985864,0.5283591967077996,248,-0.050038071692115604,-0.01149798695780892
9980,2000,0.09675065424749894,0.23274152669523007,0.011098225183658446,0.8331109636319284,-0.2020860454556191,1.1444818815783269,0.8333333333333334,0.0864070397537639,589,589,426,143,6,-0.09675065424749894,-0.011098225183658446,-0.2020860454556191,1.1444818815783269,-1.0318049951369592,-0.3902854691090689,-1.5432795007842597,0.17535795805403015,-0.6975030017440643,0.1724137931034483,2001,-0.18830171593407838,0.18351310520544106,248,0.051870614482559745,-0.16328728723579486
11809,2000,0.006281918522314814,0.8667012555875881,-0.009961635763529306,0.7464160842032763,-0.06824594970735434,-0.12815241926213167,0.5,0.033893539525923395,589,589,426,143,6,-0.006281918522314814,0.009961635763529306,-0.06824594970735434,-0.12815241926213167,-0.2852043518821172,-0.04265130560259813,-0.8530395110088941,-0.7403322388739458,-0.4803068518418888,0.27586206896551724,2001,-0.08093015715891148,0.03543672378320344,248,0.019958780712752103,0.005827564601765582
11974,2000,-0.09833959117375636,0.0012690074224297168,-0.04911508015765045,0.032309845873662264,0.13000617882718277,0.08837060467180122,0.5,0.06613441224662983,589,589,426,143,6,0.09833959117375636,0.04911508015765045,0.13000617882718277,0.08837060467180122,0.5781932164740361,0.6036528140912685,0.1693861410916838,-0.5845388500783066,0.19167333039467044,0.7241379310344828,2001,0.1655827210855497,1.130692848835985e-06,248,-0.06882802330110346,-0.03770408017772915
11980,2000,-0.06034309804523039,0.013933011860459121,-0.02541701585098394,0.2905172355912381,0.053132472714545735,0.005847159510848087,0.5,0.045027947005883945,589,589,426,143,6,0.06034309804523039,0.02541701585098394,0.053132472714545735,0.005847159510848087,0.2646240482548685,0.21246994813456493,-0.22706684875810113,-0.6439164023733406,-0.09847231368550206,0.5517241379310345,2001,-0.01942512699830513,0.5084730018710528,248,0.050117034770807006,0.0019424678659575728
12009,2000,-0.029734723779338078,0.0486715516754341,-0.027560193708942762,0.026476221006252833,0.07767911243102459,-0.0,0.0,0.0269695192095429,589,589,426,143,6,0.029734723779338078,0.027560193708942762,0.07767911243102459,-0.0,0.01202593540715369,0.2478472872236245,-0.10047494629271743,-0.6481235706387424,-0.12218132357517039,0.5172413793103449,2001,0.006615001829124837,0.8211570149928927,248,-0.007339017186484065,-0.011869779725910325
12017,2000,-0.3245938817739634,0.0064373456748609585,-0.1259597780177895,0.1929753369650925,0.14664756386677025,2.903358854980685,1.0,0.08163299315817792,589,589,426,143,6,0.3245938817739634,0.1259597780177895,0.14664756386677025,2.903358854980685,2.445375260604882,1.8721247345615784,0.25520907311630997,1.4409111504229946,1.5034050546764413,0.9655172413793104,2001,-0.06746119288685999,0.6699005237432847,248,-0.023875451799531267,0.11348183202022383
12026,2000,0.2159471421446297,0.07620772106362149,0.16182088523199797,0.07968371201526353,0.28793339873830737,0.09172330663450862,0.5,0.23844016234258741,589,589,426,143,6,-0.2159471421446297,-0.16182088523199797,0.28793339873830737,0.09172330663450862,-2.0154837635464835,-2.878257539711533,0.9838482202412339,-0.5821265024632496,-1.123004896370008,0.034482758620689655,2001,0.010442123492610684,0.9334344377680336,248,0.23108689275295674,-0.12332305166555137
