model,n_obs,beta_score,t_score,p_score,r2
pooled,1043,-0.014511928866377729,-1.7955090528111686,0.07257263171580432,0.004428987026807052
year_fe,1043,-0.01453466424416675,-1.9164646153056695,0.055305983018647135,0.12451513639559142
