crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p,r2,beta_mktrf,beta_smb,beta_hml,beta_mom,alpha_q
036540,Carhart4,4569,-0.00014559647918133977,-0.03669031275369762,-1.8914871512072098,0.05855934456437769,0.8024893648965983,0.8840154065832827,-0.06254769322969901,-0.03957088462943623,0.01531378656913409,0.2203708284013559
010063,Carhart4,5684,-0.00011799999889799613,-0.029735999722295025,-2.791736959329758,0.005242595541104715,0.9081893002843301,0.8436178587226922,-0.10523670782877953,0.016293594603094805,0.006562023658488611,0.08737659235174526
091487,Carhart4,2154,-0.00010439987043204892,-0.026308767348876327,-0.9276092535548787,0.353610295921551,0.7207023482314902,0.6435170181153691,-0.05365923542544556,0.2292267808381125,-0.02120235289444815,0.5506748404318332
030782,Carhart4,6874,-9.097603453777697e-05,-0.022925960703519797,-1.892090165168564,0.058478968464047466,0.9053118713151452,0.935202593152193,-0.020157218416920065,0.33232816470250093,-0.12387256276169205,0.2203708284013559
052832,Carhart4,3646,-6.855458254875035e-05,-0.017275754802285086,-0.940629047573151,0.3468949907857912,0.8803600311942328,0.9811448500665652,0.2643933171990076,-0.1589212418734934,-0.07801914652458605,0.5506748404318332
031298,Carhart4,4923,-4.8673547849890914e-05,-0.01226573405817251,-1.8710387306251695,0.06133971287260846,0.9721269629949782,0.8452546619425162,-0.014358497159234433,0.04404516665004745,-0.012820234103000263,0.2203708284013559
031208,Carhart4,6132,-4.3880170363961016e-05,-0.011057802931718177,-1.1382067356335084,0.2550341667776892,0.9484807557390794,1.105516327741916,0.01108784559808867,-0.40538257076472267,0.011390616293655318,0.4791282187182759
022641,Carhart4,6876,-2.4011494555090403e-05,-0.006050896627882781,-0.27742571769978974,0.7814532364500757,0.8435989641304676,1.1939854124886644,0.7893003980826487,-0.19261733874689096,0.09388994249312202,0.9088881323390073
053175,Carhart4,3599,-1.3035653068065288e-05,-0.0032849845731524525,-1.9120736343934037,0.05586675006392096,0.998784668480579,0.9960133747681374,-0.007054841029400537,0.020879640291477704,-0.004310193683823965,0.2203708284013559
007826,Carhart4,6876,-1.1453918126716195e-05,-0.002886387367932481,-0.27717752816452285,0.7816437938115464,0.9567583739144508,0.9734163503357123,0.8013818153429493,0.5095555156653275,-0.059429315456769716,0.9088881323390073
