crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_p,gamma,gamma_t,gamma_p,r2,gamma_q
004717,HenrikssonMerton,6876,6.526261214759286e-05,0.0164461782611934,0.12108486145341366,-0.0049924970838135935,-0.5105622793193009,0.6096575945335643,0.9554975952504021,0.7620719931669553
004905,HenrikssonMerton,6876,9.76688726083857e-05,0.024612555897313197,0.19908442588518904,-0.014360468785282882,-0.7199739050140379,0.47154106245807637,0.8669469671031976,0.6549181423028839
005079,HenrikssonMerton,6876,5.009328191722922e-06,0.0012623507043141764,0.9143927435421306,-0.0004439715496876995,-0.04314351111801302,0.9655871347142642,0.9556158745498782,0.9925190144882529
005846,HenrikssonMerton,6350,0.00014487269873853244,0.03650792008211017,0.011679087108580373,-0.011642867809780967,-0.7623605976467279,0.44584481616846694,0.040130626336407405,0.6448876993738243
007826,HenrikssonMerton,6876,-0.000210575915887892,-0.053065130803748785,1.6063080269819026e-05,0.047544941362189105,4.23801642625874,2.255032740718701e-05,0.9569783194663811,0.0006986764098907513
009980,HenrikssonMerton,6876,0.0003081358637283276,0.07765023765953856,0.002129965773920848,-0.06313716873918505,-3.034189915582559,0.002411825497337876,0.7269608590341798,0.02411825497337876
010063,HenrikssonMerton,5684,2.3590152096946023e-05,0.005944718328430397,0.7710767968632162,-0.03608067945263317,-1.6320999727307581,0.10265842751603246,0.9084309844044561,0.4223798176035763
011809,HenrikssonMerton,6876,0.00021483817521215996,0.05413922015346431,2.4623550027670614e-05,-0.03226862181402456,-2.6132399029327944,0.008968832141344762,0.9282123202170516,0.05612456364573324
011974,HenrikssonMerton,6876,0.00020756134867806633,0.05230545986687272,0.009970007102226683,-0.028892797871356353,-1.4249342632804132,0.15417620417616823,0.9056449759082507,0.4282672338226895
011980,HenrikssonMerton,6876,9.925242264281439e-05,0.025011610505989226,0.08873010592925473,-0.011966154743200175,-0.8941633782968311,0.37123448323167907,0.9492525002553547,0.6448876993738243
012009,HenrikssonMerton,6876,0.0001278780613874179,0.032225271469629314,0.012328017509376454,-0.01571932255044095,-1.1062222122704635,0.26863035097103094,0.006268724900663103,0.5596465645229811
012017,HenrikssonMerton,6876,-5.9990761695381735e-05,-0.015117671947236197,0.6535196012498674,0.05609148460137567,1.8310546745777196,0.0670923828108032,0.8229430146965115,0.3049653764127418
012026,HenrikssonMerton,6876,0.0003318288064991287,0.08362085923778044,0.009284000532132271,-0.05876066588098092,-2.1216765235129587,0.03386491138165409,0.6575197781511026,0.16932455690827045
013216,HenrikssonMerton,6876,0.00025219803263195446,0.06355390422325252,1.0065238629914277e-06,-0.04846705157374721,-3.8157995068897526,0.00013574269276712375,0.9440449966974871,0.002262378212785396
014031,HenrikssonMerton,6876,0.00023320494267278088,0.05876764555354078,7.469390187776799e-07,-0.03543675199985871,-3.373426459315425,0.0007423887440847033,0.9474065064273527,0.009279859301058792
019609,HenrikssonMerton,6876,-5.9316892055206e-05,-0.014947856797911913,0.3434419789908072,0.031564009796305074,2.2015910981150326,0.027694205304478185,0.9050021032340784,0.1538566961359899
021120,HenrikssonMerton,6876,0.000199751818996968,0.05033745838723594,0.12839292176114198,-0.028732584300769776,-0.9705529849841649,0.33177092775452455,0.7861491517230484,0.6143906069528233
022641,HenrikssonMerton,6876,-4.678369650118846e-05,-0.011789491518299491,0.7066546086566045,0.0054373852151176,0.17752444326973707,0.8590964671914212,0.8436009284712254,0.9418150620631806
024805,HenrikssonMerton,6350,9.404577121902656e-06,0.0023699534347194694,0.9390234555183316,0.02699711724741016,1.0152297731859308,0.30999631133538363,0.8264628182759008,0.6143906069528233
024833,HenrikssonMerton,5325,0.0001413137520061424,0.035611065505547886,0.0292133172684879,-0.02125775012190678,-1.5271893038091797,0.12671394528107288,0.9286056334724053,0.4223798176035763
026970,HenrikssonMerton,6876,-3.902502282561359e-05,-0.009834305752054625,0.47732946971351353,0.01063743630258688,0.7961581262889986,0.4259401325836726,0.9406990898804252,0.6448876993738243
026982,HenrikssonMerton,6876,1.653828614046562e-05,0.004167648107397336,0.48777962487312443,-0.0042984761263522575,-0.8082891957468321,0.4189241207199341,0.9852343472459572,0.6448876993738243
026985,HenrikssonMerton,6876,1.5585270773054404e-06,0.00039274882348097097,0.9766973877825412,0.006672843066072548,0.5360061642582488,0.5919542902030317,0.9506200340224151,0.7589157566705534
026998,HenrikssonMerton,6876,0.00012913206998536425,0.03254128163631179,0.08038949482619136,-0.013336063492805486,-0.8476936546276261,0.39660860110557006,0.9117754405697412,0.6448876993738243
027045,HenrikssonMerton,6876,1.36340480755977e-05,0.0034357801150506203,0.8203989446234378,2.0397742420824594e-05,0.0013321317066503017,0.9989371129926699,0.9423663849550087,0.9989371129926699
027354,HenrikssonMerton,5367,-9.605783431637969e-05,-0.02420657424772768,0.26173770845532607,0.02259646130154149,1.2255011370884785,0.22038646192116396,0.9083192361180811,0.5008783225480999
030782,HenrikssonMerton,6874,-0.000113224604537926,-0.02853260034355735,0.16646036257844432,0.005311680329766547,0.2590416338614553,0.7956031173550132,0.9053154039561709,0.9221938230422931
031187,HenrikssonMerton,6876,8.968033624715723e-05,0.022599444734283623,0.33977899479008866,-0.019918565448072453,-0.834878748988943,0.4037859810588379,0.7901090111145028,0.6448876993738243
031208,HenrikssonMerton,6132,-4.7037473521142046e-05,-0.011853443327327795,0.42575862801021724,0.0007792571580270552,0.05601995819026408,0.9553259077896011,0.9484808212616114,0.9925190144882529
