crsp_fundno,model,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p,r2,beta_mktrf,beta_smb,beta_hml,beta_mom,alpha_q
031208,Carhart4,6132,-4.3880170363961016e-05,-0.011057802931718177,-1.1382067356335084,0.2550341667776892,0.9484807557390794,1.105516327741916,0.01108784559808867,-0.40538257076472267,0.011390616293655318,0.4791282187182759
031217,Carhart4,6876,1.680893521914981e-05,0.004235851675225752,0.47201505051670534,0.6369160459004932,0.923416068282605,0.8307059068351812,-0.15952419007476248,0.3341291228213458,-0.014498576724392247,0.8380474288164385
031235,Carhart4,6876,6.689063860963439e-05,0.016856440929627865,2.2454633077713004,0.024738405209303257,0.8990130172427897,0.5671883679679062,-0.10973913807139793,0.0934095761047555,-0.001523065828428814,0.17877180958243152
031298,Carhart4,4923,-4.8673547849890914e-05,-0.01226573405817251,-1.8710387306251695,0.06133971287260846,0.9721269629949782,0.8452546619425162,-0.014358497159234433,0.04404516665004745,-0.012820234103000263,0.2203708284013559
031302,Carhart4,6876,0.0001156939378824522,0.029154872346377952,2.3068104857166603,0.021065387437675318,0.10579913279918263,0.07194374017966086,0.0274955640686926,0.0188294724929209,-0.01977038321235982,0.17877180958243152
031304,Carhart4,6876,6.329512699274547e-05,0.015950372002171857,3.256321570991989,0.001128658442223103,0.01541693232208674,-0.013246782803949966,0.008371330972024927,-0.012144269458285575,-0.00163799506892668,0.05643292211115515
031363,Carhart4,5477,9.296194876360298e-05,0.02342641108842795,1.5319811688559564,0.12552708176156385,0.9004653262615775,1.1499114377255724,0.004280858902631265,-0.37714113101504493,0.016153751615130343,0.3321946427759296
031456,Carhart4,6319,2.827567112673141e-05,0.007125469123936316,1.1293997503783801,0.25872923810786896,0.9759990654836903,1.051281924447105,-0.07113133222737426,-0.29564985524571197,0.023875058393526594,0.4791282187182759
031461,Carhart4,6319,-8.132961611415047e-06,-0.002049506326076592,-1.0029617352605196,0.31587932394330054,0.996912894046519,0.994430599463442,-0.13190258997179793,0.016132170163833934,-0.000506474274923458,0.5506748404318332
031462,Carhart4,6319,-7.295492797504515e-06,-0.0018384641849711377,-1.540516325207566,0.12343454656371622,0.9989403319543093,1.0013663514326316,-0.005015021357643076,0.02239042701255016,-0.0016214123590322736,0.3321946427759296
031950,Carhart4,6876,6.611969586645304e-05,0.016662163358346166,0.9088195320852746,0.3634453946850099,0.8598804576104662,1.0122890066847154,0.702406410694528,-0.2783449151827808,-0.06862319927517065,0.5506748404318332
031959,Carhart4,6876,1.8200699185957905e-05,0.004586576194861392,0.5547749050871342,0.5790486339820393,0.9372440666636435,0.8531229578056223,-0.18213418448358593,0.19287530162047142,-0.007502168876509882,0.7824981540297828
036540,Carhart4,4569,-0.00014559647918133977,-0.03669031275369762,-1.8914871512072098,0.05855934456437769,0.8024893648965983,0.8840154065832827,-0.06254769322969901,-0.03957088462943623,0.01531378656913409,0.2203708284013559
052301,Carhart4,3683,-1.0846885120421225e-07,-2.7334150503461486e-05,-0.01138622456651974,0.9909153035122236,0.9972663642007916,0.9879053864313395,-0.12688451814743337,0.015607086836563061,-0.005088286753070983,0.9909153035122236
052819,Carhart4,3627,7.939044024550198e-05,0.0200063909418665,1.4836838900700058,0.13789280210258786,0.1330240329882072,0.06908567679999228,-0.034133790045013934,0.0278754002704829,-0.007530961236991146,0.34473200525646963
052832,Carhart4,3646,-6.855458254875035e-05,-0.017275754802285086,-0.940629047573151,0.3468949907857912,0.8803600311942328,0.9811448500665652,0.2643933171990076,-0.1589212418734934,-0.07801914652458605,0.5506748404318332
053175,Carhart4,3599,-1.3035653068065288e-05,-0.0032849845731524525,-1.9120736343934037,0.05586675006392096,0.998784668480579,0.9960133747681374,-0.007054841029400537,0.020879640291477704,-0.004310193683823965,0.2203708284013559
064961,Carhart4,2578,6.555837045680907e-05,0.016520709355115886,0.4263117991475416,0.669880661287227,0.413385482497741,0.5192552419621862,0.1415783968936209,-0.1828275831660532,-0.04820470762294761,0.8588213606246501
087002,Carhart4,2467,0.0001250510162225084,0.03151285608807212,1.2908397098014275,0.19675926496776164,0.16541294897301573,0.12995706926075856,-0.006167535159157741,0.0038149424948340613,-0.03720486722115605,0.4120122011050167
091487,Carhart4,2154,-0.00010439987043204892,-0.026308767348876327,-0.9276092535548787,0.353610295921551,0.7207023482314902,0.6435170181153691,-0.05365923542544556,0.2292267808381125,-0.02120235289444815,0.5506748404318332
093577,Carhart4,1926,-9.182322450723123e-06,-0.0023139452575822272,-0.12568888124503957,0.8999782035459617,0.3302175026290911,0.13043158628406518,0.02646348801533417,0.004687187983389977,-0.014356896420588768,0.9553901751322182
100948,Carhart4,741,3.0012349697679153e-06,0.0007563112123815147,0.30353274521449913,0.7614838967075414,0.9990315392303792,0.9955245982411426,-0.08451020084183507,-0.03413971609941001,0.0034491156558079964,0.9088881323390073
004717,FF3,6876,3.192704480236403e-05,0.008045615290195735,1.0782185357659912,0.28093624188195443,0.953800864265621,0.9000910059962222,0.05187157692392673,-0.05684364360107684,,0.50167186050349
004905,FF3,6876,3.126828588287581e-05,0.007879608042484705,0.7993337522536161,0.42409691271688454,0.8661438031637089,0.642020459816146,-0.07449775438321321,0.24465886214633825,,0.6236719304660067
005079,FF3,6876,1.8946027460576515e-05,0.004774398920065282,0.5549487940394441,0.5789296855921306,0.953623644632207,1.0414933120861545,-0.0465008727881375,-0.3165943338684597,,0.7617495863054351
005846,FF3,6350,9.54722059049166e-05,0.024058995888038982,2.7959753311125204,0.005174334982824114,0.03915755360286255,-0.03563733725357041,0.01600873787125275,-0.03764218458003936,,0.06467918728530142
007826,FF3,6876,-2.6523685721033622e-05,-0.006683968801700473,-0.6446307415767617,0.5191665081930467,0.955220443549492,0.9851900370830069,0.8026910194465073,0.5365126673070898,,0.7210645947125648
009980,FF3,6876,7.210258229406561e-05,0.018169850738104534,0.9820132053272097,0.32609334263030687,0.7177101104237897,0.7933420194477195,-0.052394939150555084,0.15109568363467735,,0.5292853256076004
010063,FF3,5684,-0.00011703261935408863,-0.029492220077230336,-2.7967024018795317,0.005162706272323828,0.9081565719018224,0.8426674099976856,-0.10580002069412434,0.012853333273414397,,0.06467918728530142
011809,FF3,6876,0.00012133849662689883,0.030577301149978506,3.0089488606332377,0.0026215323839831636,0.9091115942933455,0.879646253167909,-0.01469943206726309,-0.1529821623099882,,0.06467918728530142
